epoch,loss,side_effect_f1_micro,side_effect_f1_macro,action_accuracy,score
1,1.4551632404327393,0.32705980761187786,0.30324223394512023,0.9235294117647059,0.5060006888577262
2,1.448117733001709,0.32705980761187786,0.30324223394512023,0.9235294117647059,0.5060006888577262
3,1.4410183429718018,0.32705980761187786,0.30324223394512023,0.9235294117647059,0.5060006888577262
4,1.4340695142745972,0.32705980761187786,0.30324223394512023,0.9235294117647059,0.5060006888577262
5,1.4271184206008911,0.32705980761187786,0.30324223394512023,0.9235294117647059,0.5060006888577262
6,1.4200750589370728,0.32705980761187786,0.30324223394512023,0.9235294117647059,0.5060006888577262
7,1.4123101234436035,0.32705980761187786,0.30324223394512023,0.9235294117647059,0.5060006888577262
8,1.4040725231170654,0.32705980761187786,0.30324223394512023,0.9235294117647059,0.5060006888577262
9,1.394839882850647,0.32705980761187786,0.30324223394512023,0.9235294117647059,0.5060006888577262
10,1.38558030128479,0.32705980761187786,0.30324223394512023,0.9235294117647059,0.5060006888577262
11,1.3751225471496582,0.32705980761187786,0.30324223394512023,0.9235294117647059,0.5060006888577262
12,1.3633532524108887,0.32705980761187786,0.30324223394512023,0.9235294117647059,0.5060006888577262
13,1.3513643741607666,0.32705980761187786,0.30324223394512023,0.9235294117647059,0.5060006888577262
14,1.3374097347259521,0.32705980761187786,0.30324223394512023,0.9235294117647059,0.5060006888577262
15,1.3211119174957275,0.32705980761187786,0.30324223394512023,0.9235294117647059,0.5060006888577262
16,1.3055092096328735,0.32705980761187786,0.30324223394512023,0.9235294117647059,0.5060006888577262
17,1.2873108386993408,0.32705980761187786,0.30324223394512023,0.9235294117647059,0.5060006888577262
18,1.2676345109939575,0.32705980761187786,0.30324223394512023,0.9235294117647059,0.5060006888577262
19,1.2432669401168823,0.32705980761187786,0.30324223394512023,0.9235294117647059,0.5060006888577262
20,1.2175216674804688,0.3270512978226104,0.3032207262592708,0.9235294117647059,0.505994732005239
21,1.1872892379760742,0.32681846153846156,0.30285229229229527,0.9235294117647059,0.5058317466063348
22,1.1579411029815674,0.3259030945629392,0.30158864947159314,0.9235294117647059,0.5051909897234692
23,1.1261136531829834,0.322759783322797,0.2973965775127065,0.9235294117647059,0.5029906718553696
24,1.095046043395996,0.3159018679261874,0.2880693841953403,0.9235294117647059,0.4981901310777429
25,1.0544474124908447,0.3065313691150716,0.27367536584792984,0.9235294117647059,0.4916307819099619
